Person,Elo Rating
Man City,1611.17
Chelsea,1452.12
Arsenal,1414.38
Liverpool,1341.38
Aston Villa,1327.6
Brighton,1319.89
Spurs,1209.96
Fulham,1203.03
Newcastle,1162.21
Man Utd,1146.83
Bournemouth,1139.61
Nott'm Forest,1126.46
Everton,1114.22
Leicester,1089.65
Brentford,1080.0
Wigan,1072.42
Crystal Palace,1067.25
West Ham,1062.61
Bolton,1007.78
Cardiff,1007.13
Coventry,997.9
Blackpool,960.43
Portsmouth,951.12
Sheffield Wed,950.7
Stoke,948.14
Charlton,947.0
West Brom,943.26
Leeds,922.62
QPR,921.15
Reading,918.8
Barnsley,915.07
Birmingham,907.0
Hull,906.8
Oldham,905.03
Ipswich,902.09
Bradford,900.56
Burnley,885.59
Middlesbrough,881.85
Luton,878.51
Wolves,873.11
Swindon,863.21
Blackburn,854.33
Sunderland,847.24
Swansea,846.26
Watford,809.45
Southampton,794.63
Sheffield Utd,774.27
Wimbledon,754.74
Norwich,747.34
Huddersfield,728.56
Derby,607.54
