Team,Elo Rating
Liverpool,1685.88
Man City,1653.7
Chelsea,1596.34
Arsenal,1549.25
Man Utd,1513.61
Spurs,1480.06
Newcastle,1464.97
Leicester,1464.32
Aston Villa,1450.73
Brentford,1419.87
Leeds,1411.97
West Ham,1401.7
Portsmouth,1368.43
Brighton,1367.69
Everton,1367.63
Blackburn,1357.56
Southampton,1352.53
Wolves,1350.73
Crystal Palace,1337.91
Bolton,1317.41
Wigan,1312.63
Burnley,1307.68
Swansea,1304.2
Nott'm Forest,1302.01
Birmingham,1301.62
Watford,1298.19
Charlton,1297.95
Sunderland,1295.84
Bournemouth,1285.94
Ipswich,1279.83
Sheffield Wed,1279.22
Fulham,1278.58
Middlesbrough,1274.19
West Brom,1272.59
Wimbledon,1268.57
Stoke,1264.06
Sheffield Utd,1256.57
Hull,1253.58
Norwich,1252.12
Coventry,1228.87
QPR,1220.7
Derby,1210.37
Reading,1201.56
Blackpool,1178.63
Huddersfield,1171.07
Barnsley,1168.35
Oldham,1137.13
Bradford,1125.15
Cardiff,1095.86
Luton,1091.23
Swindon,1000.0
